x,gauge1,gauge3,gauge5,gauge7,gauge9
45.6436,0.04807,0.07796,0.10053,0.11442,0.13381
45.6506,0.04797,0.07793,0.10034,0.11431,0.13372
45.6573,0.04785,0.07792,0.10017,0.11421,0.13363
45.6928,0.04709,0.07799,0.09932,0.11366,0.1331
45.7025,0.04686,0.07803,0.09912,0.11351,0.13293
45.7655,0.04565,0.07804,0.09814,0.1126,0.13162
45.7733,0.04558,0.07797,0.09804,0.11249,0.13144
45.8799,0.04562,0.07533,0.09711,0.11127,0.12897
45.8844,0.04565,0.07521,0.09708,0.11123,0.12888
45.8911,0.04568,0.07503,0.09703,0.11117,0.12876
45.9301,0.04586,0.07409,0.0967,0.11087,0.12811
45.9335,0.04587,0.07401,0.09667,0.11085,0.12806
45.9839,0.04578,0.07245,0.09614,0.11061,0.1274
45.9934,0.04571,0.07208,0.09602,0.11057,0.12729
46.0904,0.04443,0.06854,0.09463,0.11032,0.12623
46.1162,0.04407,0.06808,0.0942,0.11026,0.12596
46.1243,0.04396,0.06803,0.09406,0.11023,0.12587
46.1761,0.04334,0.06874,0.09311,0.11001,0.12532
46.2019,0.04303,0.06949,0.0926,0.10983,0.12505
46.2419,0.04243,0.07028,0.0918,0.1094,0.12468
46.244,0.04239,0.07028,0.09176,0.10938,0.12466
46.3359,0.04009,0.06757,0.08992,0.10788,0.12407
46.3501,0.03967,0.06691,0.08965,0.10763,0.12403
46.361,0.03935,0.06641,0.08945,0.10745,0.12401
46.4037,0.03811,0.06467,0.08876,0.10681,0.12401
46.4071,0.03802,0.06455,0.08871,0.10677,0.12401
46.4759,0.03636,0.06271,0.08814,0.10611,0.12407
46.4868,0.03616,0.06255,0.08809,0.10603,0.12405
46.5317,0.0355,0.06224,0.08765,0.1057,0.12384
46.5328,0.03549,0.06224,0.08763,0.10569,0.12383
46.5928,0.03472,0.06245,0.08602,0.1052,0.1231
46.6095,0.03444,0.06258,0.08555,0.10504,0.12283
46.62,0.03426,0.06265,0.08528,0.10492,0.12265
46.6556,0.03358,0.06284,0.08459,0.10444,0.12199
46.7089,0.03258,0.0626,0.08438,0.10346,0.12091
46.7127,0.03252,0.06255,0.08439,0.10338,0.12083
46.7393,0.03212,0.06212,0.0844,0.10272,0.12027
46.7813,0.03167,0.06113,0.08407,0.10137,0.11939
46.7954,0.03158,0.06072,0.08376,0.10078,0.1191
46.8267,0.03143,0.05965,0.08271,0.09916,0.11846
46.8288,0.03143,0.05957,0.08263,0.09904,0.11842
46.8891,0.03137,0.05681,0.0796,0.09663,0.11719
46.8983,0.03138,0.05632,0.07908,0.09672,0.117
46.94,0.03144,0.05402,0.07683,0.09832,0.11616
46.9411,0.03144,0.05396,0.07678,0.09838,0.11614
46.9582,0.03147,0.053,0.07596,0.09936,0.1158
46.9941,0.03152,0.05107,0.0746,0.10167,0.11507
