"lon","lat","z"
153.34736436847,-29.4229061534695,0.1
153.347341952225,-29.4228875408858,0.1
153.347319535979,-29.4228689283021,0.1
153.347297119734,-29.4228503157183,0.1
153.347274703489,-29.4228317031346,0.1
153.347252287244,-29.4228130905509,0.1
153.347229870998,-29.4227944779672,0.1
153.347207454753,-29.4227758653835,0.1
153.347187798142,-29.422755016927,0.1
153.347168333109,-29.4227340132529,0.1
153.347148868077,-29.4227130095788,0.1
153.347129403044,-29.4226920059047,0.1
153.347109938011,-29.4226710022306,0.1
153.347090472978,-29.4226499985565,0.1
153.347071007945,-29.4226289948824,0.1
153.347051542912,-29.4226079912083,0.1
153.347032077879,-29.4225869875342,0.1
153.347012612847,-29.4225659838602,0.1
153.346993147814,-29.4225449801861,0.1
153.346973682781,-29.422523976512,0.1
153.346954217748,-29.4225029728379,0.1
