"lon","lat","WMO ID","Deployment IDs","Hull","Start current deployment","Start of real-time data","Transmission Status","Location","Buoy Latitude","Buoy Longitude","Surveyed Water Depth (m)","BPR Latitude","BPR Longitude","PAROS Returned Depth (m)","Ocean Designator","Primary GTS ID","Secondary GTS ID","Last Service Date","Date Station Established","Trigger Threshold (mm)","Generation","Primary Transmitter ID","Secondary Transmitter ID","Clock Offset (sec)","PAROS Serial Number","Buoy/BPR Firmware"
-73.9830555555556,-26.7433333333333,"32402","32402_20120402","Chilean2","2013-04-02","2013-04-02 13:43:46","Transmitting","Coast of Caldera","26° 44' 36"" S","73° 58' 59"" W","4070","26° 44' 38"" S","73° 58' 59"" W","4066","32402","DD32402P","DD32402S","2013-04-02","2013-01-25"," ","2.1","N02P","N02S"," ","96843","2.39/2.78"
-72.0341666666667,-23.1536111111111,"32403","32403_20150925","PMEL-N03","2015-09-25","2015-09-25 12:00:00","No Tx > 12 Hours","Coast of Chile","23° 9' 13"" S","72° 2' 3"" W","4200","23° 9' 13"" S","72° 2' 3"" W","4237","32403","DD32403P","DD32403S","2015-09-25","2015-07-07"," ","4.0","N03P","N03S"," ","134142","4G1.11/2.0"
-90.85,4.995,"32411","32411_20160318","2.6D11","2016-03-18","2016-03-18 03:18:33","Transmitting","710 NM West-Southwest of Panama City, Panama","4° 59' 42"" N","90° 51' 0"" W","3291","4° 59' 33"" N","90° 50' 37"" W","3200","P4","DD32411P","DD32411S","2016-03-18","2007-03-27","30","2.1","N11P","N11S"," ","123568","2.39/2.78"
-86.33,-17.98,"32412","32412_20140306","2.6D80","2014-03-06","2015-06-10 14:11:10","No Tx Manually Set","630 NM Southwest of Lima, Peru","17° 58' 48"" S","86° 19' 48"" W","4387","17° 58' 47"" S","86° 20' 44"" W","4335","P5","DD32412P","DD32412S","2015-06-10","2007-11-01","30","2.1","NA2P","NA2S"," ","114416","2.39/2.78"
-93.4766666666667,-7.39333333333333,"32413","32413_20160317","2.6D54","2016-03-17","2016-03-17 04:15:36","Transmitting","1000 NM WNW of Lima, Peru","7° 23' 36"" S","93° 28' 36"" W","3977","7° 23' 12"" S","93° 28' 48"" W","3932","P31","DD32413P","DD32413S","2016-03-17","2010-08-22","30","2.1","NA3P","NA3S"," ","107665","2.39/2.78"
-79.1016666666667,2.99833333333333,"32489","32489_20150604","W32489","2015-06-24","2015-06-24 14:50:00","No Tx > 12 Hours","Coast of Colombia","2° 59' 54"" N","79° 6' 6"" W","2955","2° 59' 54"" N","79° 6' 6"" W","2955","32489","DD32489P","DD32489S","2015-06-24","2015-06-04"," ","2.1","MC1P","MC1S"," ","W32489","2.39/2.78"
-75.2455555555556,-35.7405555555556,"34420","34420_20150929","PMEL-W20","2015-09-29","2015-09-29 01:00:00","No Tx > 12 Hours","Coast of Chile","35° 44' 26"" S","75° 14' 44"" W","4140","35° 45' 30"" S","75° 14' 36"" W","4143","34420","DD34420P","DD34420S","2015-09-29","2015-07-07"," ","4.0","W20P","W20S"," ","134141","4G1.11/2.0"
-67.3372222222222,23.5,"41420","41420_20140517","2.6D72","2014-05-17","2014-05-17 13:54:00","Transmitting","690 NM East of Miami, FL","23° 30' 0"" N","67° 20' 14"" W","5817","23° 29' 44"" N","67° 20' 14"" W","5773","A1","DD41420P","DD41420S","2014-05-17","2006-03-08","30","2.1","A20P","A20S"," ","117751","2.39/2.78"
-63.8880555555556,23.4094444444444,"41421","41421_20140518","2.6D16","2014-05-18","2014-05-18 16:15:01","Transmitting","320 NM North of San Juan, PR","23° 24' 34"" N","63° 53' 17"" W","5845","23° 24' 36"" N","63° 53' 42"" W","5803","A3","DD41421P","DD41421S","2014-05-18","2006-04-04","30","2.1","A21P","A21S"," ","105438","2.39/2.78"
-72.7033333333333,33.0133333333333,"41424","41424_20160430","2.6D82","2016-04-30","2016-04-30 18:30:35","No Tx Manually Set","370 NM East of Charleston, SC","33° 0' 48"" N","72° 42' 12"" W","5253","33° 0' 13"" N","72° 41' 43"" W","5213","A6","DD41424P","DD41424S","2016-04-30","2006-03-30","30","2.1","AD4P","AD4S"," ","123569","2.39/2.78"
