"time","stage"
4020,-0.004298
4050,-0.00408999999999998
4080,-0.003603
4110,-0.00276899999999999
4140,-0.00175400000000001
4170,-0.00054499999999999
4200,0.000805
4230,0.00211700000000001
4260,0.00348899999999999
4290,0.00478200000000001
4320,0.005966
4350,0.00708400000000001
4380,0.00801600000000001
4410,0.00883600000000001
4440,0.00966900000000001
4470,0.010543
4500,0.011748
4530,0.013383
4560,0.015707
4590,0.018872
4620,0.022976
4650,0.028298
4680,0.035036
4710,0.043533
4740,0.053974
4770,0.066549
4800,0.081167
4830,0.097807
4860,0.116684
4890,0.137437
4920,0.160054
4950,0.184312
4980,0.209454
5010,0.235215
5040,0.26034
5070,0.283701
5100,0.305475
5130,0.324182
5160,0.338776
5190,0.348718
5220,0.353239
5250,0.352036
5280,0.344964
5310,0.332741
5340,0.314064
5370,0.29195
5400,0.266295
5430,0.236659
5460,0.205926
5490,0.175484
5520,0.144144
5550,0.114464
5580,0.08454
5610,0.055662
5640,0.027808
5670,-0.00248799999999999
5700,-0.03411
5730,-0.069066
5760,-0.109754
5790,-0.15578
5820,-0.207755
5850,-0.265459
5880,-0.328418
5910,-0.393728
5940,-0.458253
5970,-0.517587
6000,-0.569168
6030,-0.608622
6060,-0.631655
6090,-0.638223
6120,-0.626158
6150,-0.596455
6180,-0.550795
6210,-0.489918
6240,-0.422441
6270,-0.3499
6300,-0.278417
6330,-0.209518
6360,-0.150215
6390,-0.096581
6420,-0.055593
6450,-0.019261
6480,0.00409700000000002
6510,0.031336
6540,0.054348
6570,0.074631
6600,0.095975
6630,0.116635
6660,0.140462
6690,0.160598
6720,0.17667
6750,0.187489
6780,0.196295
6810,0.20106
6840,0.204856
6870,0.204586
6900,0.204449
6930,0.202783
6960,0.202422
6990,0.198612
7020,0.190217
7050,0.18034
7080,0.156656
7110,0.121762
7140,0.070177
7170,0.004778
7200,-0.075478
7230,-0.163748
7260,-0.26321
7290,-0.352775
7320,-0.423188
7350,-0.477109
7380,-0.507247
7410,-0.505982
7440,-0.469762
7470,-0.40457
7500,-0.318709
7530,-0.2278
7560,-0.142085
7590,-0.074132
7620,-0.02152
7650,0.009686
7680,0.040934
7710,0.057908
7740,0.072802
7770,0.09245
7800,0.121365
7830,0.176382
7860,0.257163
7890,0.345172
7920,0.444773
7950,0.536347
7980,0.607276
8010,0.641066
8040,0.636428
8070,0.581734
8100,0.487258
8130,0.352035
8160,0.194789
8190,0.02945
8220,-0.131842
8250,-0.267014
8280,-0.383953
8310,-0.472947
8340,-0.53293
8370,-0.575065
8400,-0.58836
8430,-0.57924
8460,-0.56644
8490,-0.543105
8520,-0.507457
8550,-0.463403
8580,-0.401348
8610,-0.303866
8640,-0.166556
8670,0.007705
8700,0.189098
8730,0.380079
8760,0.572338
8790,0.753961
8820,0.903972
8850,1.003756
8880,1.024191
8910,0.992878
8940,0.87575
8970,0.686304
9000,0.453547
9030,0.202357
9060,-0.045082
9090,-0.272918
9120,-0.464725
9150,-0.589587
9180,-0.65406
9210,-0.665127
9240,-0.613139
9270,-0.540831
9300,-0.420655
9330,-0.289547
9360,-0.142838
9390,-0.012561
9420,0.097138
9450,0.161834
9480,0.207807
9510,0.289165
9540,0.343895
9570,0.403024
9600,0.468594
9630,0.50148
9660,0.508004
9690,0.447839
9720,0.317111
9750,0.166926
9780,0.032603
9810,-0.108588
9840,-0.236992
9870,-0.361755
9900,-0.463342
9930,-0.520116
9960,-0.544197
9990,-0.523793
10020,-0.451691
10050,-0.30451
10080,-0.120738
10110,-0.00861799999999999
10140,0.061495
10170,0.115862
10200,0.161601
10230,0.127588
10260,0.10392
10290,0.068361
10320,-0.00382399999999999
10350,-0.08148
10380,-0.185202
10410,-0.236505
10440,-0.299403
10470,-0.352289
10500,-0.347802
10530,-0.320658
10560,-0.266696
10590,-0.191601
10620,-0.096903
10650,-0.028951
10680,-0.000274999999999997
10710,0.039302
10740,0.082666
10770,0.114153
10800,0.161552
10830,0.240485
10860,0.243732
10890,0.216902
10920,0.186416
10950,0.159601
10980,0.150732
11010,0.085055
11040,0.047517
11070,0.037697
11100,0.075919
11130,0.115441
11160,0.109388
11190,0.070105
11220,0.031063
11250,-0.021321
11280,-0.056742
11310,-0.10163
11340,-0.154578
11370,-0.215637
11400,-0.2808
11430,-0.322136
11460,-0.338934
11490,-0.306027
11520,-0.254946
11550,-0.156982
11580,-0.074495
11610,0.016242
11640,0.097552
11670,0.169198
11700,0.166339
11730,0.151702
11760,0.123853
11790,0.109372
11820,0.086998
11850,0.085891
11880,0.038711
11910,-0.015735
11940,-0.033333
11970,-0.016939
12000,0.009094
12030,-0.014526
12060,-0.067255
12090,-0.13018
12120,-0.229935
12150,-0.321705
12180,-0.362747
12210,-0.353945
12240,-0.277002
12270,-0.171783
12300,-0.079448
12330,-0.029976
12360,0.00398600000000002
12390,0.051793
12420,0.077399
12450,0.100659
12480,0.125463
12510,0.096506
12540,-0.017323
12570,-0.172658
12600,-0.311928
12630,-0.416799
12660,-0.440292
12690,-0.452115
12720,-0.42874
12750,-0.374746
12780,-0.294945
12810,-0.21196
12840,-0.153646
12870,-0.062018
12900,0.066156
12930,0.196961
12960,0.299952
12990,0.337885
13020,0.370741
13050,0.430472
13080,0.499263
13110,0.577654
13140,0.621673
13170,0.584758
13200,0.470243
13230,0.340105
13260,0.23341
13290,0.141051
13320,0.068951
13350,0.030731
13380,0.020233
13410,0.025154
13440,0.059228
13470,0.062263
13500,0.062307
13530,0.062296
13560,0.100254
13590,0.125437
13620,0.083434
13650,0.062679
13680,0.080127
13710,0.093403
13740,0.100301
13770,0.074433
13800,0.041526
13830,0.023865
13860,-0.021646
13890,-0.090868
13920,-0.160871
13950,-0.236264
13980,-0.280763
14010,-0.265413
14040,-0.20737
14070,-0.134073
14100,-0.046136
14130,0.005347
14160,0.022836
14190,0.019357
14220,0.025334
14250,0.057727
14280,0.061888
14310,0.058805
14340,0.066263
14370,0.041653
14400,0.029888
14430,0.019752
14460,-0.004496
14490,-0.029563
14520,-0.037233
14550,-0.057526
14580,-0.069533
14610,-0.097067
14640,-0.151058
14670,-0.166386
14700,-0.164828
14730,-0.159019
14760,-0.131189
14790,-0.100237
14820,-0.085411
14850,-0.106151
14880,-0.154219
14910,-0.20122
14940,-0.206167
14970,-0.171838
15000,-0.123656
15030,-0.06724
15060,-0.031542
15090,-0.021756
15120,-0.053951
15150,-0.063093
15180,-0.052314
15210,-0.025872
15240,0.020446
15270,0.033055
15300,0.024618
15330,0.009993
15360,-0.00820199999999999
15390,-0.025463
15420,-0.028559
15450,-0.017299
15480,0.000975000000000004
15510,-0.024015
15540,-0.055117
15570,-0.05602
15600,-0.035338
15630,0.00248200000000001
15660,0.048912
15690,0.106303
15720,0.163368
15750,0.199962
15780,0.202354
15810,0.18456
15840,0.146821
15870,0.09138
15900,0.047085
15930,-0.004717
15960,-0.066069
15990,-0.133899
16020,-0.20522
16050,-0.248918
16080,-0.244059
16110,-0.210274
16140,-0.164747
16170,-0.127009
16200,-0.104458
16230,-0.097392
16260,-0.105538
16290,-0.110062
16320,-0.121731
16350,-0.124038
16380,-0.110929
16410,-0.076722
16440,-0.028996
16470,0.028126
16500,0.090039
16530,0.171686
16560,0.231566
16590,0.255146
16620,0.244264
16650,0.200769
16680,0.137556
16710,0.075252
16740,0.013081
16770,-0.049456
16800,-0.087943
16830,-0.123747
16860,-0.153078
16890,-0.190266
16920,-0.220893
16950,-0.250917
16980,-0.264858
17010,-0.253687
17040,-0.22121
17070,-0.162204
17100,-0.094209
17130,-0.036835
17160,0.00679200000000001
17190,0.034419
17220,0.077576
17250,0.126084
17280,0.184913
17310,0.205638
17340,0.183814
17370,0.127895
17400,0.080655
17430,0.025226
17460,-0.017354
17490,-0.064324
17520,-0.098892
17550,-0.135302
17580,-0.17915
17610,-0.21068
17640,-0.226855
17670,-0.228467
17700,-0.178152
17730,-0.100488
17760,-0.033851
17790,0.025372
17820,0.087727
17850,0.134179
17880,0.154044
17910,0.159113
17940,0.156266
17970,0.149768
18000,0.150685
18030,0.146234
18060,0.122434
18090,0.084544
18120,0.034331
18150,-0.024754
18180,-0.066244
18210,-0.076864
18240,-0.070347
18270,-0.046094
18300,-0.031297
18330,-0.026019
18360,-0.034528
18390,-0.04832
18420,-0.060449
18450,-0.049374
18480,-0.042766
18510,-0.05969
18540,-0.0916
18570,-0.113916
18600,-0.132017
18630,-0.136772
18660,-0.113477
18690,-0.073851
18720,-0.035676
18750,0.00574200000000001
18780,0.053277
18810,0.097616
18840,0.135535
18870,0.177524
18900,0.206232
18930,0.221586
18960,0.227919
18990,0.216445
19020,0.195951
19050,0.144009
19080,0.097658
19110,0.076475
19140,0.085092
19170,0.092541
19200,0.075454
19230,0.022911
19260,-0.034687
19290,-0.088077
19320,-0.144355
19350,-0.197332
19380,-0.216444
19410,-0.233823
19440,-0.23084
19470,-0.209892
19500,-0.159622
19530,-0.098386
19560,-0.044841
19590,0.011179
19620,0.060306
19650,0.092873
19680,0.106444
19710,0.099105
19740,0.063963
19770,0.032873
19800,0.01052
19830,-0.00512099999999999
19860,-0.00957
19890,-0.029383
19920,-0.052614
19950,-0.05882
19980,-0.047781
20010,-0.022732
20040,0.019334
20070,0.049774
20100,0.070274
20130,0.083498
20160,0.092307
20190,0.087727
20220,0.078754
20250,0.071221
20280,0.067612
20310,0.043071
20340,-0.00368499999999999
20370,-0.051773
20400,-0.097417
20430,-0.122287
20460,-0.130654
20490,-0.119732
20520,-0.109558
20550,-0.109583
20580,-0.10266
20610,-0.097759
20640,-0.091599
20670,-0.062774
20700,-0.034125
20730,-0.00601299999999999
